"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"kibuzzard-6160B392";"kibuzzard-6160B392";1;"G***";;;
2;"kibuzzard-61609E2B";"kibuzzard-61609E2B";1;"G***";;;
3;"D5";"D_5W_P10.16mm_Horizontal";1;"N4007";;;
4;"kibuzzard-6160B38A";"kibuzzard-6160B38A";1;"G***";;;
5;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
6;"U1";"DIP-28_W7.62mm";1;"ATmega328-P";;;
7;"C3";"CP_Radial_D5.0mm_P2.50mm";1;"0.33uF";;;
8;"LS1";"Buzzer_12x9.5RM7.6";1;"Passiver Piezo";;;
9;"D2";"LED_D10.0mm";1;"LED G";;;
10;"C8,C5,C7,C6";"C_Disc_D5.0mm_W2.5mm_P2.50mm";4;"100nF";;;
11;"D4";"LED_D10.0mm";1;"LED Y";;;
12;"SW7";"Button_12*12*7.3_yellow_round";1;"PB Y";;;
13;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"330R";;;
14;"SW2";"Button_12*12*7.3_red_round";1;"PB R";;;
15;"kibuzzard-61609E4D";"kibuzzard-61609E4D";1;"G***";;;
16;"SW5";"Button_12*12*7.3_green_round";1;"PB G";;;
17;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"FTDI";;;
18;"SW6";"Button_12*12*7.3_blue_round";1;"PB B";;;
19;"U2";"TO-220-3_Horizontal_TabDown";1;"LM7805_TO220";;;
20;"SW4";"Button_12*12*7.3_white_round";1;"SW_Push";;;
21;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"560R";;;
22;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"220R";;;
23;"D3";"LED_D10.0mm";1;"LED B";;;
24;"C2,C1";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"22pF";;;
25;"SW3";"cheap_china_slide_switch";1;"SW_Push_SPDT";;;
26;"D1";"LED_D10.0mm";1;"LED R";;;
27;"kibuzzard-61609DF8";"kibuzzard-61609DF8";1;"G***";;;
28;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"5R";;;
29;"Y1";"Crystal_HC50_Vertical";1;"LFXTAL003240";;;
30;"kibuzzard-61609DB8";"kibuzzard-61609DB8";1;"G***";;;
31;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
32;"J3";"Display_128x64_096_I2C_no_holes";1;"Display";;;
33;"kibuzzard-6160B6E4";"kibuzzard-6160B6E4";1;"G***";;;
34;"C4";"CP_Radial_D5.0mm_P2.50mm";1;"0.1uF";;;
35;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
36;"G***";"LOGO";1;"LOGO";;;
37;"BT1";"BatteryHolder_Eagle_12BH611-GR";1;"9V Batterie";;;
38;"REF**";"KiCad-Logo2_6mm_Copper";1;"KiCad-Logo2_6mm_Copper";;;
